ID,Capture_Number
CaptureSite_0_201901,7
CaptureSite_0_201902,1
CaptureSite_0_201903,5
CaptureSite_0_201904,2
CaptureSite_0_201905,3
CaptureSite_0_201906,8
CaptureSite_0_201907,6
CaptureSite_0_201908,4
CaptureSite_0_201909,6
CaptureSite_0_201910,5
CaptureSite_0_201911,2
CaptureSite_0_201912,3
CaptureSite_0_201913,4
CaptureSite_0_201914,7
CaptureSite_0_201915,1
CaptureSite_0_201916,0
CaptureSite_0_201917,1
CaptureSite_0_201918,1
CaptureSite_0_201919,2
CaptureSite_0_201920,3
CaptureSite_0_201921,9
CaptureSite_0_201922,1
CaptureSite_0_201923,2
CaptureSite_0_201924,6
CaptureSite_0_201925,2
CaptureSite_0_201926,9
CaptureSite_0_201927,4
CaptureSite_0_201928,2
CaptureSite_0_201929,9
CaptureSite_0_201930,1
CaptureSite_0_201931,4
CaptureSite_0_201932,6
CaptureSite_0_201933,5
CaptureSite_0_201934,1
CaptureSite_0_201935,4
CaptureSite_0_201936,9
CaptureSite_0_201937,6
CaptureSite_0_201938,7
CaptureSite_0_201939,1
CaptureSite_0_201940,8
CaptureSite_0_201941,0
CaptureSite_0_201942,3
CaptureSite_0_201943,6
CaptureSite_0_201944,8
CaptureSite_1_201901,8
CaptureSite_1_201902,5
CaptureSite_1_201903,6
CaptureSite_1_201904,0
CaptureSite_1_201905,1
CaptureSite_1_201906,7
CaptureSite_1_201907,9
CaptureSite_1_201908,7
CaptureSite_1_201909,9
CaptureSite_1_201910,2
CaptureSite_1_201911,8
CaptureSite_1_201912,9
CaptureSite_1_201913,8
CaptureSite_1_201914,0
CaptureSite_1_201915,8
CaptureSite_1_201916,6
CaptureSite_1_201917,0
CaptureSite_1_201918,2
CaptureSite_1_201919,4
CaptureSite_1_201920,9
CaptureSite_1_201921,8
CaptureSite_1_201922,6
CaptureSite_1_201923,0
CaptureSite_1_201924,8
CaptureSite_1_201925,6
CaptureSite_1_201926,3
CaptureSite_1_201927,6
CaptureSite_1_201928,3
CaptureSite_1_201929,2
CaptureSite_1_201930,0
CaptureSite_1_201931,3
CaptureSite_1_201932,7
CaptureSite_1_201933,9
CaptureSite_1_201934,3
CaptureSite_1_201935,1
CaptureSite_1_201936,0
CaptureSite_1_201937,4
CaptureSite_1_201938,2
CaptureSite_1_201939,3
CaptureSite_1_201940,6
CaptureSite_1_201941,0
CaptureSite_1_201942,6
CaptureSite_1_201943,5
CaptureSite_1_201944,3
CaptureSite_10_201901,6
CaptureSite_10_201902,8
CaptureSite_10_201903,2
CaptureSite_10_201904,5
CaptureSite_10_201905,6
CaptureSite_10_201906,0
CaptureSite_10_201907,8
CaptureSite_10_201908,0
CaptureSite_10_201909,2
CaptureSite_10_201910,0
CaptureSite_10_201911,9
CaptureSite_10_201912,8
CaptureSite_10_201913,5
CaptureSite_10_201914,2
CaptureSite_10_201915,0
CaptureSite_10_201916,6
CaptureSite_10_201917,8
CaptureSite_10_201918,8
CaptureSite_10_201919,7
CaptureSite_10_201920,3
CaptureSite_10_201921,3
CaptureSite_10_201922,0
CaptureSite_10_201923,9
CaptureSite_10_201924,1
CaptureSite_10_201925,9
CaptureSite_10_201926,2
CaptureSite_10_201927,5
CaptureSite_10_201928,3
CaptureSite_10_201929,2
CaptureSite_10_201930,0
CaptureSite_10_201931,6
CaptureSite_10_201932,0
CaptureSite_10_201933,6
CaptureSite_10_201934,2
CaptureSite_10_201935,5
CaptureSite_10_201936,7
CaptureSite_10_201937,6
CaptureSite_10_201938,2
CaptureSite_10_201939,9
CaptureSite_10_201940,6
CaptureSite_10_201941,9
CaptureSite_10_201942,5
CaptureSite_10_201943,7
CaptureSite_10_201944,7
CaptureSite_11_201901,6
CaptureSite_11_201902,7
CaptureSite_11_201903,1
CaptureSite_11_201904,0
CaptureSite_11_201905,9
CaptureSite_11_201906,9
CaptureSite_11_201907,2
CaptureSite_11_201908,4
CaptureSite_11_201909,3
CaptureSite_11_201910,6
CaptureSite_11_201911,5
CaptureSite_11_201912,7
CaptureSite_11_201913,5
CaptureSite_11_201914,2
CaptureSite_11_201915,0
CaptureSite_11_201916,6
CaptureSite_11_201917,9
CaptureSite_11_201918,4
CaptureSite_11_201919,2
CaptureSite_11_201920,6
CaptureSite_11_201921,2
CaptureSite_11_201922,2
CaptureSite_11_201923,1
CaptureSite_11_201924,2
CaptureSite_11_201925,5
CaptureSite_11_201926,2
CaptureSite_11_201927,3
CaptureSite_11_201928,9
CaptureSite_11_201929,8
CaptureSite_11_201930,4
CaptureSite_11_201931,8
CaptureSite_11_201932,0
CaptureSite_11_201933,6
CaptureSite_11_201934,0
CaptureSite_11_201935,3
CaptureSite_11_201936,7
CaptureSite_11_201937,0
CaptureSite_11_201938,3
CaptureSite_11_201939,4
CaptureSite_11_201940,2
CaptureSite_11_201941,4
CaptureSite_11_201942,8
CaptureSite_11_201943,2
CaptureSite_11_201944,5
CaptureSite_12_201901,6
CaptureSite_12_201902,4
CaptureSite_12_201903,0
CaptureSite_12_201904,0
CaptureSite_12_201905,2
CaptureSite_12_201906,8
CaptureSite_12_201907,7
CaptureSite_12_201908,6
CaptureSite_12_201909,6
CaptureSite_12_201910,1
CaptureSite_12_201911,8
CaptureSite_12_201912,3
CaptureSite_12_201913,1
CaptureSite_12_201914,0
CaptureSite_12_201915,4
CaptureSite_12_201916,9
CaptureSite_12_201917,4
CaptureSite_12_201918,2
CaptureSite_12_201919,1
CaptureSite_12_201920,8
CaptureSite_12_201921,2
CaptureSite_12_201922,9
CaptureSite_12_201923,0
CaptureSite_12_201924,7
CaptureSite_12_201925,9
CaptureSite_12_201926,3
CaptureSite_12_201927,5
CaptureSite_12_201928,9
CaptureSite_12_201929,2
CaptureSite_12_201930,8
CaptureSite_12_201931,0
CaptureSite_12_201932,6
CaptureSite_12_201933,7
CaptureSite_12_201934,3
CaptureSite_12_201935,1
CaptureSite_12_201936,8
CaptureSite_12_201937,9
CaptureSite_12_201938,5
CaptureSite_12_201939,3
CaptureSite_12_201940,0
CaptureSite_12_201941,7
CaptureSite_12_201942,5
CaptureSite_12_201943,0
CaptureSite_12_201944,1
CaptureSite_13_201901,1
CaptureSite_13_201902,9
CaptureSite_13_201903,8
CaptureSite_13_201904,0
CaptureSite_13_201905,0
CaptureSite_13_201906,4
CaptureSite_13_201907,5
CaptureSite_13_201908,8
CaptureSite_13_201909,3
CaptureSite_13_201910,4
CaptureSite_13_201911,1
CaptureSite_13_201912,5
CaptureSite_13_201913,9
CaptureSite_13_201914,8
CaptureSite_13_201915,6
CaptureSite_13_201916,7
CaptureSite_13_201917,9
CaptureSite_13_201918,4
CaptureSite_13_201919,6
CaptureSite_13_201920,0
CaptureSite_13_201921,4
CaptureSite_13_201922,9
CaptureSite_13_201923,7
CaptureSite_13_201924,6
CaptureSite_13_201925,9
CaptureSite_13_201926,3
CaptureSite_13_201927,5
CaptureSite_13_201928,4
CaptureSite_13_201929,7
CaptureSite_13_201930,3
CaptureSite_13_201931,6
CaptureSite_13_201932,1
CaptureSite_13_201933,2
CaptureSite_13_201934,8
CaptureSite_13_201935,0
CaptureSite_13_201936,9
CaptureSite_13_201937,5
CaptureSite_13_201938,5
CaptureSite_13_201939,4
CaptureSite_13_201940,8
CaptureSite_13_201941,3
CaptureSite_13_201942,3
CaptureSite_13_201943,0
CaptureSite_13_201944,1
CaptureSite_14_201901,3
CaptureSite_14_201902,6
CaptureSite_14_201903,4
CaptureSite_14_201904,3
CaptureSite_14_201905,4
CaptureSite_14_201906,5
CaptureSite_14_201907,6
CaptureSite_14_201908,2
CaptureSite_14_201909,0
CaptureSite_14_201910,9
CaptureSite_14_201911,4
CaptureSite_14_201912,0
CaptureSite_14_201913,9
CaptureSite_14_201914,4
CaptureSite_14_201915,0
CaptureSite_14_201916,1
CaptureSite_14_201917,3
CaptureSite_14_201918,1
CaptureSite_14_201919,5
CaptureSite_14_201920,8
CaptureSite_14_201921,6
CaptureSite_14_201922,6
CaptureSite_14_201923,0
CaptureSite_14_201924,6
CaptureSite_14_201925,2
CaptureSite_14_201926,5
CaptureSite_14_201927,2
CaptureSite_14_201928,6
CaptureSite_14_201929,2
CaptureSite_14_201930,7
CaptureSite_14_201931,9
CaptureSite_14_201932,8
CaptureSite_14_201933,4
CaptureSite_14_201934,2
CaptureSite_14_201935,4
CaptureSite_14_201936,4
CaptureSite_14_201937,0
CaptureSite_14_201938,3
CaptureSite_14_201939,3
CaptureSite_14_201940,5
CaptureSite_14_201941,8
CaptureSite_14_201942,6
CaptureSite_14_201943,8
CaptureSite_14_201944,0
CaptureSite_15_201901,9
CaptureSite_15_201902,3
CaptureSite_15_201903,1
CaptureSite_15_201904,7
CaptureSite_15_201905,6
CaptureSite_15_201906,7
CaptureSite_15_201907,7
CaptureSite_15_201908,9
CaptureSite_15_201909,7
CaptureSite_15_201910,2
CaptureSite_15_201911,1
CaptureSite_15_201912,2
CaptureSite_15_201913,6
CaptureSite_15_201914,0
CaptureSite_15_201915,1
CaptureSite_15_201916,8
CaptureSite_15_201917,8
CaptureSite_15_201918,3
CaptureSite_15_201919,0
CaptureSite_15_201920,3
CaptureSite_15_201921,4
CaptureSite_15_201922,7
CaptureSite_15_201923,2
CaptureSite_15_201924,5
CaptureSite_15_201925,0
CaptureSite_15_201926,5
CaptureSite_15_201927,0
CaptureSite_15_201928,4
CaptureSite_15_201929,9
CaptureSite_15_201930,2
CaptureSite_15_201931,4
CaptureSite_15_201932,3
CaptureSite_15_201933,9
CaptureSite_15_201934,2
CaptureSite_15_201935,1
CaptureSite_15_201936,1
CaptureSite_15_201937,4
CaptureSite_15_201938,1
CaptureSite_15_201939,0
CaptureSite_15_201940,0
CaptureSite_15_201941,6
CaptureSite_15_201942,4
CaptureSite_15_201943,6
CaptureSite_15_201944,4
CaptureSite_16_201901,8
CaptureSite_16_201902,9
CaptureSite_16_201903,2
CaptureSite_16_201904,6
CaptureSite_16_201905,6
CaptureSite_16_201906,0
CaptureSite_16_201907,5
CaptureSite_16_201908,1
CaptureSite_16_201909,6
CaptureSite_16_201910,1
CaptureSite_16_201911,0
CaptureSite_16_201912,0
CaptureSite_16_201913,1
CaptureSite_16_201914,8
CaptureSite_16_201915,4
CaptureSite_16_201916,5
CaptureSite_16_201917,0
CaptureSite_16_201918,6
CaptureSite_16_201919,0
CaptureSite_16_201920,5
CaptureSite_16_201921,7
CaptureSite_16_201922,7
CaptureSite_16_201923,7
CaptureSite_16_201924,6
CaptureSite_16_201925,5
CaptureSite_16_201926,7
CaptureSite_16_201927,6
CaptureSite_16_201928,1
CaptureSite_16_201929,9
CaptureSite_16_201930,2
CaptureSite_16_201931,6
CaptureSite_16_201932,1
CaptureSite_16_201933,8
CaptureSite_16_201934,9
CaptureSite_16_201935,8
CaptureSite_16_201936,5
CaptureSite_16_201937,4
CaptureSite_16_201938,5
CaptureSite_16_201939,4
CaptureSite_16_201940,4
CaptureSite_16_201941,8
CaptureSite_16_201942,8
CaptureSite_16_201943,1
CaptureSite_16_201944,9
CaptureSite_17_201901,3
CaptureSite_17_201902,1
CaptureSite_17_201903,2
CaptureSite_17_201904,4
CaptureSite_17_201905,8
CaptureSite_17_201906,1
CaptureSite_17_201907,7
CaptureSite_17_201908,5
CaptureSite_17_201909,8
CaptureSite_17_201910,1
CaptureSite_17_201911,3
CaptureSite_17_201912,5
CaptureSite_17_201913,4
CaptureSite_17_201914,5
CaptureSite_17_201915,9
CaptureSite_17_201916,7
CaptureSite_17_201917,8
CaptureSite_17_201918,9
CaptureSite_17_201919,2
CaptureSite_17_201920,1
CaptureSite_17_201921,4
CaptureSite_17_201922,1
CaptureSite_17_201923,0
CaptureSite_17_201924,5
CaptureSite_17_201925,6
CaptureSite_17_201926,4
CaptureSite_17_201927,5
CaptureSite_17_201928,6
CaptureSite_17_201929,6
CaptureSite_17_201930,2
CaptureSite_17_201931,0
CaptureSite_17_201932,2
CaptureSite_17_201933,8
CaptureSite_17_201934,7
CaptureSite_17_201935,8
CaptureSite_17_201936,6
CaptureSite_17_201937,1
CaptureSite_17_201938,3
CaptureSite_17_201939,7
CaptureSite_17_201940,6
CaptureSite_17_201941,1
CaptureSite_17_201942,0
CaptureSite_17_201943,9
CaptureSite_17_201944,2
CaptureSite_18_201901,7
CaptureSite_18_201902,1
CaptureSite_18_201903,1
CaptureSite_18_201904,7
CaptureSite_18_201905,1
CaptureSite_18_201906,9
CaptureSite_18_201907,0
CaptureSite_18_201908,0
CaptureSite_18_201909,6
CaptureSite_18_201910,9
CaptureSite_18_201911,8
CaptureSite_18_201912,1
CaptureSite_18_201913,7
CaptureSite_18_201914,4
CaptureSite_18_201915,6
CaptureSite_18_201916,8
CaptureSite_18_201917,3
CaptureSite_18_201918,2
CaptureSite_18_201919,2
CaptureSite_18_201920,4
CaptureSite_18_201921,5
CaptureSite_18_201922,1
CaptureSite_18_201923,8
CaptureSite_18_201924,9
CaptureSite_18_201925,3
CaptureSite_18_201926,7
CaptureSite_18_201927,7
CaptureSite_18_201928,4
CaptureSite_18_201929,9
CaptureSite_18_201930,0
CaptureSite_18_201931,1
CaptureSite_18_201932,6
CaptureSite_18_201933,5
CaptureSite_18_201934,7
CaptureSite_18_201935,6
CaptureSite_18_201936,7
CaptureSite_18_201937,4
CaptureSite_18_201938,6
CaptureSite_18_201939,5
CaptureSite_18_201940,8
CaptureSite_18_201941,9
CaptureSite_18_201942,3
CaptureSite_18_201943,2
CaptureSite_18_201944,9
CaptureSite_19_201901,7
CaptureSite_19_201902,1
CaptureSite_19_201903,1
CaptureSite_19_201904,9
CaptureSite_19_201905,0
CaptureSite_19_201906,6
CaptureSite_19_201907,6
CaptureSite_19_201908,8
CaptureSite_19_201909,6
CaptureSite_19_201910,3
CaptureSite_19_201911,0
CaptureSite_19_201912,1
CaptureSite_19_201913,1
CaptureSite_19_201914,6
CaptureSite_19_201915,3
CaptureSite_19_201916,2
CaptureSite_19_201917,6
CaptureSite_19_201918,2
CaptureSite_19_201919,8
CaptureSite_19_201920,6
CaptureSite_19_201921,0
CaptureSite_19_201922,9
CaptureSite_19_201923,4
CaptureSite_19_201924,5
CaptureSite_19_201925,8
CaptureSite_19_201926,0
CaptureSite_19_201927,6
CaptureSite_19_201928,5
CaptureSite_19_201929,3
CaptureSite_19_201930,6
CaptureSite_19_201931,9
CaptureSite_19_201932,5
CaptureSite_19_201933,7
CaptureSite_19_201934,1
CaptureSite_19_201935,4
CaptureSite_19_201936,4
CaptureSite_19_201937,1
CaptureSite_19_201938,6
CaptureSite_19_201939,6
CaptureSite_19_201940,2
CaptureSite_19_201941,2
CaptureSite_19_201942,8
CaptureSite_19_201943,1
CaptureSite_19_201944,3
CaptureSite_2_201901,0
CaptureSite_2_201902,4
CaptureSite_2_201903,1
CaptureSite_2_201904,2
CaptureSite_2_201905,6
CaptureSite_2_201906,7
CaptureSite_2_201907,1
CaptureSite_2_201908,2
CaptureSite_2_201909,6
CaptureSite_2_201910,1
CaptureSite_2_201911,2
CaptureSite_2_201912,0
CaptureSite_2_201913,4
CaptureSite_2_201914,0
CaptureSite_2_201915,2
CaptureSite_2_201916,0
CaptureSite_2_201917,8
CaptureSite_2_201918,2
CaptureSite_2_201919,7
CaptureSite_2_201920,2
CaptureSite_2_201921,4
CaptureSite_2_201922,1
CaptureSite_2_201923,6
CaptureSite_2_201924,3
CaptureSite_2_201925,0
CaptureSite_2_201926,3
CaptureSite_2_201927,0
CaptureSite_2_201928,9
CaptureSite_2_201929,8
CaptureSite_2_201930,5
CaptureSite_2_201931,7
CaptureSite_2_201932,9
CaptureSite_2_201933,0
CaptureSite_2_201934,4
CaptureSite_2_201935,0
CaptureSite_2_201936,5
CaptureSite_2_201937,5
CaptureSite_2_201938,1
CaptureSite_2_201939,9
CaptureSite_2_201940,0
CaptureSite_2_201941,6
CaptureSite_2_201942,9
CaptureSite_2_201943,2
CaptureSite_2_201944,8
CaptureSite_20_201901,0
CaptureSite_20_201902,0
CaptureSite_20_201903,1
CaptureSite_20_201904,6
CaptureSite_20_201905,4
CaptureSite_20_201906,5
CaptureSite_20_201907,4
CaptureSite_20_201908,7
CaptureSite_20_201909,2
CaptureSite_20_201910,1
CaptureSite_20_201911,9
CaptureSite_20_201912,5
CaptureSite_20_201913,7
CaptureSite_20_201914,2
CaptureSite_20_201915,9
CaptureSite_20_201916,1
CaptureSite_20_201917,6
CaptureSite_20_201918,1
CaptureSite_20_201919,5
CaptureSite_20_201920,4
CaptureSite_20_201921,6
CaptureSite_20_201922,8
CaptureSite_20_201923,6
CaptureSite_20_201924,7
CaptureSite_20_201925,0
CaptureSite_20_201926,6
CaptureSite_20_201927,8
CaptureSite_20_201928,0
CaptureSite_20_201929,2
CaptureSite_20_201930,1
CaptureSite_20_201931,3
CaptureSite_20_201932,1
CaptureSite_20_201933,9
CaptureSite_20_201934,7
CaptureSite_20_201935,6
CaptureSite_20_201936,1
CaptureSite_20_201937,0
CaptureSite_20_201938,4
CaptureSite_20_201939,6
CaptureSite_20_201940,6
CaptureSite_20_201941,3
CaptureSite_20_201942,0
CaptureSite_20_201943,9
CaptureSite_20_201944,7
CaptureSite_21_201901,1
CaptureSite_21_201902,6
CaptureSite_21_201903,4
CaptureSite_21_201904,3
CaptureSite_21_201905,8
CaptureSite_21_201906,2
CaptureSite_21_201907,4
CaptureSite_21_201908,5
CaptureSite_21_201909,6
CaptureSite_21_201910,6
CaptureSite_21_201911,2
CaptureSite_21_201912,5
CaptureSite_21_201913,9
CaptureSite_21_201914,1
CaptureSite_21_201915,3
CaptureSite_21_201916,4
CaptureSite_21_201917,9
