ID,Capture_Number
CaptureSite_21_201918,1
CaptureSite_21_201919,7
CaptureSite_21_201920,9
CaptureSite_21_201921,9
CaptureSite_21_201922,8
CaptureSite_21_201923,6
CaptureSite_21_201924,5
CaptureSite_21_201925,2
CaptureSite_21_201926,1
CaptureSite_21_201927,1
CaptureSite_21_201928,2
CaptureSite_21_201929,7
CaptureSite_21_201930,5
CaptureSite_21_201931,1
CaptureSite_21_201932,2
CaptureSite_21_201933,6
CaptureSite_21_201934,3
CaptureSite_21_201935,2
CaptureSite_21_201936,2
CaptureSite_21_201937,8
CaptureSite_21_201938,1
CaptureSite_21_201939,7
CaptureSite_21_201940,8
CaptureSite_21_201941,7
CaptureSite_21_201942,1
CaptureSite_21_201943,9
CaptureSite_21_201944,4
CaptureSite_22_201901,6
CaptureSite_22_201902,4
CaptureSite_22_201903,4
CaptureSite_22_201904,3
CaptureSite_22_201905,8
CaptureSite_22_201906,3
CaptureSite_22_201907,0
CaptureSite_22_201908,3
CaptureSite_22_201909,2
CaptureSite_22_201910,6
CaptureSite_22_201911,7
CaptureSite_22_201912,2
CaptureSite_22_201913,5
CaptureSite_22_201914,1
CaptureSite_22_201915,6
CaptureSite_22_201916,9
CaptureSite_22_201917,6
CaptureSite_22_201918,6
CaptureSite_22_201919,8
CaptureSite_22_201920,0
CaptureSite_22_201921,0
CaptureSite_22_201922,3
CaptureSite_22_201923,3
CaptureSite_22_201924,7
CaptureSite_22_201925,9
CaptureSite_22_201926,1
CaptureSite_22_201927,3
CaptureSite_22_201928,2
CaptureSite_22_201929,0
CaptureSite_22_201930,5
CaptureSite_22_201931,3
CaptureSite_22_201932,3
CaptureSite_22_201933,8
CaptureSite_22_201934,8
CaptureSite_22_201935,9
CaptureSite_22_201936,1
CaptureSite_22_201937,0
CaptureSite_22_201938,7
CaptureSite_22_201939,3
CaptureSite_22_201940,7
CaptureSite_22_201941,1
CaptureSite_22_201942,0
CaptureSite_22_201943,6
CaptureSite_22_201944,2
CaptureSite_23_201901,8
CaptureSite_23_201902,5
CaptureSite_23_201903,8
CaptureSite_23_201904,6
CaptureSite_23_201905,3
CaptureSite_23_201906,6
CaptureSite_23_201907,7
CaptureSite_23_201908,7
CaptureSite_23_201909,4
CaptureSite_23_201910,1
CaptureSite_23_201911,6
CaptureSite_23_201912,5
CaptureSite_23_201913,2
CaptureSite_23_201914,8
CaptureSite_23_201915,7
CaptureSite_23_201916,7
CaptureSite_23_201917,4
CaptureSite_23_201918,3
CaptureSite_23_201919,8
CaptureSite_23_201920,6
CaptureSite_23_201921,9
CaptureSite_23_201922,9
CaptureSite_23_201923,4
CaptureSite_23_201924,4
CaptureSite_23_201925,3
CaptureSite_23_201926,2
CaptureSite_23_201927,6
CaptureSite_23_201928,1
CaptureSite_23_201929,9
CaptureSite_23_201930,1
CaptureSite_23_201931,0
CaptureSite_23_201932,9
CaptureSite_23_201933,2
CaptureSite_23_201934,7
CaptureSite_23_201935,3
CaptureSite_23_201936,2
CaptureSite_23_201937,1
CaptureSite_23_201938,3
CaptureSite_23_201939,1
CaptureSite_23_201940,9
CaptureSite_23_201941,1
CaptureSite_23_201942,8
CaptureSite_23_201943,8
CaptureSite_23_201944,8
CaptureSite_24_201901,8
CaptureSite_24_201902,2
CaptureSite_24_201903,9
CaptureSite_24_201904,0
CaptureSite_24_201905,8
CaptureSite_24_201906,5
CaptureSite_24_201907,4
CaptureSite_24_201908,8
CaptureSite_24_201909,4
CaptureSite_24_201910,9
CaptureSite_24_201911,4
CaptureSite_24_201912,5
CaptureSite_24_201913,3
CaptureSite_24_201914,8
CaptureSite_24_201915,3
CaptureSite_24_201916,6
CaptureSite_24_201917,8
CaptureSite_24_201918,4
CaptureSite_24_201919,7
CaptureSite_24_201920,3
CaptureSite_24_201921,5
CaptureSite_24_201922,5
CaptureSite_24_201923,6
CaptureSite_24_201924,4
CaptureSite_24_201925,3
CaptureSite_24_201926,8
CaptureSite_24_201927,2
CaptureSite_24_201928,2
CaptureSite_24_201929,2
CaptureSite_24_201930,2
CaptureSite_24_201931,9
CaptureSite_24_201932,0
CaptureSite_24_201933,9
CaptureSite_24_201934,0
CaptureSite_24_201935,1
CaptureSite_24_201936,2
CaptureSite_24_201937,9
CaptureSite_24_201938,4
CaptureSite_24_201939,1
CaptureSite_24_201940,4
CaptureSite_24_201941,8
CaptureSite_24_201942,8
CaptureSite_24_201943,6
CaptureSite_24_201944,0
CaptureSite_25_201901,7
CaptureSite_25_201902,9
CaptureSite_25_201903,3
CaptureSite_25_201904,2
CaptureSite_25_201905,2
CaptureSite_25_201906,9
CaptureSite_25_201907,3
CaptureSite_25_201908,1
CaptureSite_25_201909,5
CaptureSite_25_201910,2
CaptureSite_25_201911,6
CaptureSite_25_201912,4
CaptureSite_25_201913,2
CaptureSite_25_201914,7
CaptureSite_25_201915,3
CaptureSite_25_201916,6
CaptureSite_25_201917,9
CaptureSite_25_201918,3
CaptureSite_25_201919,1
CaptureSite_25_201920,7
CaptureSite_25_201921,7
CaptureSite_25_201922,2
CaptureSite_25_201923,2
CaptureSite_25_201924,3
CaptureSite_25_201925,3
CaptureSite_25_201926,6
CaptureSite_25_201927,1
CaptureSite_25_201928,4
CaptureSite_25_201929,0
CaptureSite_25_201930,4
CaptureSite_25_201931,4
CaptureSite_25_201932,9
CaptureSite_25_201933,3
CaptureSite_25_201934,0
CaptureSite_25_201935,6
CaptureSite_25_201936,0
CaptureSite_25_201937,9
CaptureSite_25_201938,6
CaptureSite_25_201939,4
CaptureSite_25_201940,3
CaptureSite_25_201941,3
CaptureSite_25_201942,9
CaptureSite_25_201943,8
CaptureSite_25_201944,2
CaptureSite_26_201901,5
CaptureSite_26_201902,5
CaptureSite_26_201903,3
CaptureSite_26_201904,9
CaptureSite_26_201905,8
CaptureSite_26_201906,3
CaptureSite_26_201907,2
CaptureSite_26_201908,9
CaptureSite_26_201909,5
CaptureSite_26_201910,3
CaptureSite_26_201911,1
CaptureSite_26_201912,0
CaptureSite_26_201913,8
CaptureSite_26_201914,2
CaptureSite_26_201915,2
CaptureSite_26_201916,0
CaptureSite_26_201917,3
CaptureSite_26_201918,0
CaptureSite_26_201919,9
CaptureSite_26_201920,7
CaptureSite_26_201921,1
CaptureSite_26_201922,4
CaptureSite_26_201923,6
CaptureSite_26_201924,6
CaptureSite_26_201925,3
CaptureSite_26_201926,3
CaptureSite_26_201927,6
CaptureSite_26_201928,0
CaptureSite_26_201929,2
CaptureSite_26_201930,6
CaptureSite_26_201931,5
CaptureSite_26_201932,8
CaptureSite_26_201933,0
CaptureSite_26_201934,2
CaptureSite_26_201935,4
CaptureSite_26_201936,3
CaptureSite_26_201937,3
CaptureSite_26_201938,3
CaptureSite_26_201939,2
CaptureSite_26_201940,4
CaptureSite_26_201941,1
CaptureSite_26_201942,0
CaptureSite_26_201943,1
CaptureSite_26_201944,3
CaptureSite_27_201901,1
CaptureSite_27_201902,5
CaptureSite_27_201903,9
CaptureSite_27_201904,3
CaptureSite_27_201905,8
CaptureSite_27_201906,5
CaptureSite_27_201907,3
CaptureSite_27_201908,9
CaptureSite_27_201909,4
CaptureSite_27_201910,3
CaptureSite_27_201911,9
CaptureSite_27_201912,6
CaptureSite_27_201913,8
CaptureSite_27_201914,2
CaptureSite_27_201915,0
CaptureSite_27_201916,1
CaptureSite_27_201917,1
CaptureSite_27_201918,3
CaptureSite_27_201919,5
CaptureSite_27_201920,3
CaptureSite_27_201921,4
CaptureSite_27_201922,3
CaptureSite_27_201923,2
CaptureSite_27_201924,5
CaptureSite_27_201925,6
CaptureSite_27_201926,0
CaptureSite_27_201927,1
CaptureSite_27_201928,5
CaptureSite_27_201929,2
CaptureSite_27_201930,8
CaptureSite_27_201931,1
CaptureSite_27_201932,2
CaptureSite_27_201933,7
CaptureSite_27_201934,5
CaptureSite_27_201935,8
CaptureSite_27_201936,4
CaptureSite_27_201937,2
CaptureSite_27_201938,6
CaptureSite_27_201939,2
CaptureSite_27_201940,2
CaptureSite_27_201941,3
CaptureSite_27_201942,4
CaptureSite_27_201943,0
CaptureSite_27_201944,7
CaptureSite_28_201901,2
CaptureSite_28_201902,5
CaptureSite_28_201903,6
CaptureSite_28_201904,9
CaptureSite_28_201905,6
CaptureSite_28_201906,5
CaptureSite_28_201907,8
CaptureSite_28_201908,6
CaptureSite_28_201909,1
CaptureSite_28_201910,0
CaptureSite_28_201911,9
CaptureSite_28_201912,7
CaptureSite_28_201913,8
CaptureSite_28_201914,6
CaptureSite_28_201915,2
CaptureSite_28_201916,5
CaptureSite_28_201917,0
CaptureSite_28_201918,6
CaptureSite_28_201919,2
CaptureSite_28_201920,9
CaptureSite_28_201921,3
CaptureSite_28_201922,0
CaptureSite_28_201923,5
CaptureSite_28_201924,5
CaptureSite_28_201925,5
CaptureSite_28_201926,2
CaptureSite_28_201927,9
CaptureSite_28_201928,5
CaptureSite_28_201929,1
CaptureSite_28_201930,0
CaptureSite_28_201931,9
CaptureSite_28_201932,1
CaptureSite_28_201933,6
CaptureSite_28_201934,6
CaptureSite_28_201935,9
CaptureSite_28_201936,9
CaptureSite_28_201937,7
CaptureSite_28_201938,4
CaptureSite_28_201939,1
CaptureSite_28_201940,8
CaptureSite_28_201941,2
CaptureSite_28_201942,2
CaptureSite_28_201943,3
CaptureSite_28_201944,7
CaptureSite_3_201901,5
CaptureSite_3_201902,0
CaptureSite_3_201903,9
CaptureSite_3_201904,6
CaptureSite_3_201905,2
CaptureSite_3_201906,9
CaptureSite_3_201907,4
CaptureSite_3_201908,8
CaptureSite_3_201909,4
CaptureSite_3_201910,0
CaptureSite_3_201911,2
CaptureSite_3_201912,6
CaptureSite_3_201913,9
CaptureSite_3_201914,1
CaptureSite_3_201915,4
CaptureSite_3_201916,1
CaptureSite_3_201917,1
CaptureSite_3_201918,5
CaptureSite_3_201919,7
CaptureSite_3_201920,0
CaptureSite_3_201921,0
CaptureSite_3_201922,1
CaptureSite_3_201923,5
CaptureSite_3_201924,0
CaptureSite_3_201925,0
CaptureSite_3_201926,1
CaptureSite_3_201927,8
CaptureSite_3_201928,8
CaptureSite_3_201929,9
CaptureSite_3_201930,7
CaptureSite_3_201931,4
CaptureSite_3_201932,6
CaptureSite_3_201933,6
CaptureSite_3_201934,2
CaptureSite_3_201935,4
CaptureSite_3_201936,7
CaptureSite_3_201937,1
CaptureSite_3_201938,5
CaptureSite_3_201939,3
CaptureSite_3_201940,8
CaptureSite_3_201941,8
CaptureSite_3_201942,3
CaptureSite_3_201943,9
CaptureSite_3_201944,9
CaptureSite_4_201901,4
CaptureSite_4_201902,7
CaptureSite_4_201903,6
CaptureSite_4_201904,9
CaptureSite_4_201905,4
CaptureSite_4_201906,7
CaptureSite_4_201907,1
CaptureSite_4_201908,4
CaptureSite_4_201909,6
CaptureSite_4_201910,4
CaptureSite_4_201911,9
CaptureSite_4_201912,8
CaptureSite_4_201913,7
CaptureSite_4_201914,9
CaptureSite_4_201915,7
CaptureSite_4_201916,8
CaptureSite_4_201917,1
CaptureSite_4_201918,9
CaptureSite_4_201919,2
CaptureSite_4_201920,7
CaptureSite_4_201921,0
CaptureSite_4_201922,8
CaptureSite_4_201923,2
CaptureSite_4_201924,1
CaptureSite_4_201925,3
CaptureSite_4_201926,3
CaptureSite_4_201927,2
CaptureSite_4_201928,7
CaptureSite_4_201929,2
CaptureSite_4_201930,0
CaptureSite_4_201931,3
CaptureSite_4_201932,5
CaptureSite_4_201933,9
CaptureSite_4_201934,8
CaptureSite_4_201935,6
CaptureSite_4_201936,8
CaptureSite_4_201937,7
CaptureSite_4_201938,4
CaptureSite_4_201939,1
CaptureSite_4_201940,4
CaptureSite_4_201941,3
CaptureSite_4_201942,8
CaptureSite_4_201943,4
CaptureSite_4_201944,0
CaptureSite_5_201901,8
CaptureSite_5_201902,2
CaptureSite_5_201903,0
CaptureSite_5_201904,1
CaptureSite_5_201905,7
CaptureSite_5_201906,3
CaptureSite_5_201907,0
CaptureSite_5_201908,3
CaptureSite_5_201909,5
CaptureSite_5_201910,8
CaptureSite_5_201911,0
CaptureSite_5_201912,3
CaptureSite_5_201913,6
CaptureSite_5_201914,4
CaptureSite_5_201915,7
CaptureSite_5_201916,2
CaptureSite_5_201917,2
CaptureSite_5_201918,4
CaptureSite_5_201919,9
CaptureSite_5_201920,9
CaptureSite_5_201921,5
CaptureSite_5_201922,2
CaptureSite_5_201923,1
CaptureSite_5_201924,1
CaptureSite_5_201925,3
CaptureSite_5_201926,1
CaptureSite_5_201927,6
CaptureSite_5_201928,4
CaptureSite_5_201929,8
CaptureSite_5_201930,6
CaptureSite_5_201931,6
CaptureSite_5_201932,5
CaptureSite_5_201933,3
CaptureSite_5_201934,4
CaptureSite_5_201935,8
CaptureSite_5_201936,7
CaptureSite_5_201937,9
CaptureSite_5_201938,1
CaptureSite_5_201939,2
CaptureSite_5_201940,0
CaptureSite_5_201941,2
CaptureSite_5_201942,7
CaptureSite_5_201943,7
CaptureSite_5_201944,0
CaptureSite_6_201901,5
CaptureSite_6_201902,4
CaptureSite_6_201903,2
CaptureSite_6_201904,8
CaptureSite_6_201905,8
CaptureSite_6_201906,8
CaptureSite_6_201907,3
CaptureSite_6_201908,2
CaptureSite_6_201909,7
CaptureSite_6_201910,9
CaptureSite_6_201911,7
CaptureSite_6_201912,4
CaptureSite_6_201913,4
CaptureSite_6_201914,8
CaptureSite_6_201915,8
CaptureSite_6_201916,7
CaptureSite_6_201917,2
CaptureSite_6_201918,5
CaptureSite_6_201919,6
CaptureSite_6_201920,1
CaptureSite_6_201921,4
CaptureSite_6_201922,0
CaptureSite_6_201923,6
CaptureSite_6_201924,8
CaptureSite_6_201925,9
CaptureSite_6_201926,8
CaptureSite_6_201927,2
CaptureSite_6_201928,3
CaptureSite_6_201929,6
CaptureSite_6_201930,9
CaptureSite_6_201931,0
CaptureSite_6_201932,5
CaptureSite_6_201933,3
CaptureSite_6_201934,4
CaptureSite_6_201935,3
CaptureSite_6_201936,2
CaptureSite_6_201937,2
CaptureSite_6_201938,4
CaptureSite_6_201939,4
CaptureSite_6_201940,2
CaptureSite_6_201941,5
CaptureSite_6_201942,7
CaptureSite_6_201943,0
CaptureSite_6_201944,4
CaptureSite_7_201901,5
CaptureSite_7_201902,4
CaptureSite_7_201903,1
CaptureSite_7_201904,2
CaptureSite_7_201905,8
CaptureSite_7_201906,6
CaptureSite_7_201907,6
CaptureSite_7_201908,7
CaptureSite_7_201909,3
CaptureSite_7_201910,6
CaptureSite_7_201911,4
CaptureSite_7_201912,8
CaptureSite_7_201913,2
CaptureSite_7_201914,4
CaptureSite_7_201915,5
CaptureSite_7_201916,0
CaptureSite_7_201917,6
CaptureSite_7_201918,7
CaptureSite_7_201919,6
CaptureSite_7_201920,5
CaptureSite_7_201921,1
CaptureSite_7_201922,8
CaptureSite_7_201923,9
CaptureSite_7_201924,0
CaptureSite_7_201925,4
CaptureSite_7_201926,5
CaptureSite_7_201927,9
CaptureSite_7_201928,3
CaptureSite_7_201929,2
CaptureSite_7_201930,6
CaptureSite_7_201931,2
CaptureSite_7_201932,8
CaptureSite_7_201933,6
CaptureSite_7_201934,4
CaptureSite_7_201935,0
CaptureSite_7_201936,0
CaptureSite_7_201937,5
CaptureSite_7_201938,2
CaptureSite_7_201939,6
CaptureSite_7_201940,5
CaptureSite_7_201941,1
CaptureSite_7_201942,5
CaptureSite_7_201943,2
CaptureSite_7_201944,5
CaptureSite_8_201901,5
CaptureSite_8_201902,2
CaptureSite_8_201903,7
CaptureSite_8_201904,3
CaptureSite_8_201905,8
CaptureSite_8_201906,7
CaptureSite_8_201907,2
CaptureSite_8_201908,8
CaptureSite_8_201909,9
CaptureSite_8_201910,1
CaptureSite_8_201911,4
CaptureSite_8_201912,5
CaptureSite_8_201913,2
CaptureSite_8_201914,7
CaptureSite_8_201915,6
CaptureSite_8_201916,7
CaptureSite_8_201917,0
CaptureSite_8_201918,6
CaptureSite_8_201919,1
CaptureSite_8_201920,8
CaptureSite_8_201921,6
CaptureSite_8_201922,3
CaptureSite_8_201923,8
CaptureSite_8_201924,9
CaptureSite_8_201925,0
CaptureSite_8_201926,8
CaptureSite_8_201927,5
CaptureSite_8_201928,8
CaptureSite_8_201929,2
CaptureSite_8_201930,6
CaptureSite_8_201931,7
CaptureSite_8_201932,8
CaptureSite_8_201933,7
CaptureSite_8_201934,6
CaptureSite_8_201935,3
CaptureSite_8_201936,1
CaptureSite_8_201937,9
CaptureSite_8_201938,6
CaptureSite_8_201939,5
CaptureSite_8_201940,3
CaptureSite_8_201941,8
CaptureSite_8_201942,6
CaptureSite_8_201943,8
CaptureSite_8_201944,6
CaptureSite_9_201901,0
CaptureSite_9_201902,5
CaptureSite_9_201903,1
CaptureSite_9_201904,2
CaptureSite_9_201905,3
CaptureSite_9_201906,4
CaptureSite_9_201907,8
CaptureSite_9_201908,1
CaptureSite_9_201909,6
CaptureSite_9_201910,5
CaptureSite_9_201911,2
CaptureSite_9_201912,5
CaptureSite_9_201913,5
CaptureSite_9_201914,3
CaptureSite_9_201915,9
CaptureSite_9_201916,3
CaptureSite_9_201917,7
CaptureSite_9_201918,7
CaptureSite_9_201919,5
CaptureSite_9_201920,8
CaptureSite_9_201921,2
CaptureSite_9_201922,2
CaptureSite_9_201923,9
CaptureSite_9_201924,8
CaptureSite_9_201925,3
CaptureSite_9_201926,2
CaptureSite_9_201927,7
CaptureSite_9_201928,8
CaptureSite_9_201929,2
CaptureSite_9_201930,2
CaptureSite_9_201931,9
CaptureSite_9_201932,3
CaptureSite_9_201933,8
CaptureSite_9_201934,0
CaptureSite_9_201935,1
CaptureSite_9_201936,9
CaptureSite_9_201937,9
CaptureSite_9_201938,3
CaptureSite_9_201939,4
CaptureSite_9_201940,0
CaptureSite_9_201941,7
CaptureSite_9_201942,7
CaptureSite_9_201943,3
CaptureSite_9_201944,5
